COGs	BG1	BG2	BG3	BP1	BP2	BP3	BS1	BS2	BS3	RG1	RG2	RG3	RP1	RP2	RP3	RS1	RS2	RS3
COG0001	74.4	30.3	27.8	54.4	31.7	165.2	30.3	98.4	10.7	4.4	2.2	5.9	124.3	64.6	92.2	12.7	14.0	13.7
COG0002	105.3	69.0	19.7	22.2	72.4	62.5	54.6	79.8	5.9	1.6	1.7	1.0	53.1	52.2	59.6	10.0	11.9	13.3
COG0003	2.8	2.2	5.4	1.0	2.6	3.9	5.2	5.7	3.9	5.0	4.3	3.2	0	2.0	0	10.1	10.6	13.2
COG0004	31.6	18.2	36.3	28.0	26.2	54.3	32.8	80.7	6.7	3.7	3.8	2.4	69.3	51.4	60.2	10.9	12.8	13.4
COG0005	1.6	6.6	7.0	11.5	16.8	9.2	29.9	42.2	5.7	5.0	3.0	2.7	11.1	18.7	37.8	12.1	15.4	14.8
COG0006	44.1	15.5	40.5	30.6	36.7	67.4	55.5	73.3	10.7	3.9	4.3	3.9	61.6	57.5	66.7	19.1	19.5	16.2
COG0007	19.7	28.5	36.9	122.6	147.0	109.6	80.2	92.8	31.5	4.2	2.5	9.9	32.8	29.5	27.7	11.7	12.1	13.1
COG0008	41.3	31.2	27.4	115.4	105.4	165.6	58.9	105.7	18.6	7.7	7.7	5.7	113.7	58.4	79.5	22.5	31.3	23.3
COG0009	20.0	15.7	19.0	13.5	14.3	42.3	36.1	76.8	11.0	7.1	7.7	5.0	25.1	28.9	32.3	16.3	18.8	15.2
COG0010	5.5	23.7	12.7	36.8	132.3	104.4	33.7	29.8	5.0	4.2	4.3	3.1	55.2	45.5	48.0	13.8	14.1	13.9
COG0011	2.9	3.1	4.9	1.5	0	1.4	8.8	6.1	5.0	1.8	1.0	1.4	3.0	1.0	0	4.0	3.1	3.3
COG0012	29.3	17.6	20.2	33.9	19.6	98.3	41.6	39.1	8.1	3.8	3.1	3.4	62.9	57.2	69.7	15.9	16.0	15.3
COG0013	97.2	39.4	81.7	327.4	446.4	314.3	102.1	87.8	50.8	6.1	6.5	3.9	123.3	90.8	136.2	31.9	33.6	35.9
COG0014	41.3	29.3	34.3	17.4	26.0	47.4	109.6	119.9	8.5	3.7	2.8	2.6	68.7	75.8	107.1	12.0	16.2	14.7
COG0015	57.9	10.7	33.6	30.0	30.6	90.1	50.3	64.6	7.3	3.8	3.6	3.1	80.8	64.2	83.8	11.3	11.2	10.7
COG0016	69.8	22.1	28.7	21.6	23.8	71.5	15.4	34.5	7.8	3.6	3.7	2.2	30.3	41.7	44.6	14.8	15.5	14.1
COG0017	58.0	18.9	17.9	487.5	179.9	6.5	30.2	14.4	12.7	8.7	8.0	7.1	140.2	33.8	85.7	37.1	37.4	39.8
COG0018	59.5	48.4	30.5	35.5	63.3	115.0	41.4	39.5	12.9	5.7	4.9	4.7	81.0	66.8	95.4	22.1	22.4	21.5
COG0019	64.4	17.2	30.9	29.6	43.6	106.1	90.5	69.5	11.0	4.4	3.2	3.4	72.8	64.4	79.6	11.9	16.1	14.2
COG0020	44.1	33.2	14.6	387.0	204.2	192.5	33.0	38.2	28.0	3.1	3.3	3.5	56.4	43.1	49.7	12.4	15.4	12.7
COG0021	50.2	25.0	39.7	63.5	63.9	117.4	51.9	79.5	11.8	5.1	4.6	5.3	130.7	72.9	106.2	17.3	18.1	17.9
COG0022	55.3	12.2	16.8	19.1	17.9	66.4	38.6	65.4	9.8	3.7	6.1	3.4	43.0	49.1	43.7	9.7	12.3	14.4
COG0023	3.9	2.3	5.9	10.8	8.6	24.9	15.1	34.4	3.0	1.5	1.0	1.0	25.5	23.3	23.6	4.8	5.1	4.6
COG0024	31.9	15.4	22.3	106.5	94.4	104.3	27.4	54.2	14.2	4.1	4.0	2.1	36.6	24.5	36.0	14.1	16.1	14.4
COG0025	39.7	25.5	32.4	66.6	103.8	112.4	66.3	69.4	18.3	5.8	5.9	5.7	73.7	69.8	91.3	24.2	26.9	20.3
COG0026	56.3	25.9	16.7	28.9	35.4	75.5	75.2	94.3	14.3	2.1	1.7	2.6	60.2	59.4	70.1	6.4	7.6	7.3
COG0027	73.1	54.7	40.7	83.8	96.4	103.5	59.0	128.4	22.0	1.0	1.7	1.7	68.6	53.2	63.9	9.4	9.5	6.1
COG0028	47.5	41.9	30.4	69.1	88.7	116.1	72.2	93.2	16.4	4.6	4.2	4.5	82.5	62.2	85.6	16.9	20.0	16.3
COG0029	95.6	24.0	41.0	29.8	18.4	113.4	113.3	126.4	16.1	1.6	3.2	1.5	75.4	80.4	103.2	3.7	10.9	4.5
COG0030	50.2	27.5	21.4	231.8	202.8	255.7	49.6	54.3	30.1	4.8	4.2	5.7	69.4	39.8	45.0	15.3	19.4	17.4
COG0031	33.1	17.4	27.9	68.4	62.0	85.1	61.7	92.5	11.9	4.2	4.3	3.7	54.1	55.4	54.1	12.4	14.5	14.1
COG0033	51.6	42.4	13.9	16.6	13.7	69.2	90.0	58.2	11.6	3.6	4.0	3.8	125.8	52.3	100.7	14.2	19.5	16.6
COG0034	31.2	28.0	34.4	32.7	21.3	117.2	67.2	77.4	10.6	3.5	2.7	2.8	88.6	48.9	86.9	19.8	21.2	19.5
COG0035	28.2	10.3	7.0	16.0	13.3	60.9	29.4	30.0	4.5	3.1	2.3	2.2	28.9	36.7	30.5	6.6	8.6	8.2
COG0036	32.8	5.1	20.8	35.4	22.5	151.5	42.2	91.7	7.3	1.7	1.3	1.5	33.1	37.2	30.3	7.9	8.8	8.6
COG0037	32.4	7.5	16.0	24.8	25.4	48.9	57.5	122.8	8.5	4.5	3.2	4.3	55.9	44.6	57.7	18.8	19.4	16.0
COG0038	12.8	23.9	15.8	44.1	50.5	79.8	9.5	11.8	12.3	9.7	10.0	7.5	58.8	52.6	65.7	36.6	35.7	36.7
COG0039	5.7	7.9	7.3	2.4	2.3	26.3	8.5	7.2	9.1	3.4	2.2	2.4	46.0	48.2	73.6	10.3	13.0	10.2
COG0040	39.4	6.1	22.9	17.6	51.3	46.0	24.7	33.5	7.2	3.4	2.8	2.0	35.7	39.6	40.3	10.9	11.8	14.4
COG0041	32.0	26.0	21.7	14.8	20.5	31.7	28.7	89.8	7.4	1.0	1.0	1.3	30.1	20.5	26.5	2.7	3.8	3.0
COG0042	42.4	27.0	20.9	40.0	42.5	81.9	40.8	56.7	12.8	8.2	6.4	7.0	51.6	41.0	53.4	24.4	30.7	26.8
COG0043	68.9	10.1	100.1	53.6	64.5	142.8	112.6	15.9	12.7	1.8	2.8	3.1	140.5	56.5	97.4	11.7	13.2	10.4
COG0044	47.6	10.9	32.5	30.5	32.6	55.5	65.6	73.0	7.3	8.9	4.3	7.7	86.4	54.7	63.8	17.8	23.8	20.9
COG0045	33.5	9.1	16.9	31.4	27.0	69.1	26.1	30.2	12.9	3.0	2.5	2.6	77.0	70.8	56.8	11.0	13.5	12.6
COG0046	10.8	25.6	17.7	6.0	1.0	2.5	5.0	1.0	1.0	2.4	1.7	0	2.0	8.0	1.0	7.1	8.1	12.0
COG0047	0	3.0	1.0	0	0	0	9.0	0	0	2.0	1.0	0	0	0	0	4.5	3.0	5.0
COG0048	11.6	3.1	3.5	5.5	9.2	12.7	4.4	11.7	3.7	3.1	3.4	1.5	29.0	12.7	44.0	8.3	9.3	10.6
COG0049	7.4	3.2	4.6	18.0	13.1	13.5	23.7	27.3	5.5	4.9	3.7	1.5	267.4	36.2	115.7	12.9	13.4	14.8
COG0050	85.2	6.8	15.4	29.9	68.2	115.5	30.6	62.4	18.7	3.5	2.4	3.7	47.4	30.8	46.6	24.7	28.5	26.9
COG0051	99.0	14.9	15.7	130.2	184.1	162.8	18.6	14.7	18.1	2.1	1.6	1.2	43.8	26.3	31.4	4.4	6.3	5.8
COG0052	52.2	26.3	17.5	256.6	354.5	225.5	20.3	15.9	29.3	3.7	2.4	3.4	84.1	45.6	66.4	12.8	14.6	11.8
COG0053	22.2	9.2	10.9	21.0	11.6	29.4	23.4	33.3	9.0	5.1	3.1	2.5	42.6	46.6	55.8	14.6	18.5	16.2
COG0054	20.8	4.8	13.0	16.2	8.9	46.3	30.3	67.1	5.2	2.0	1.7	1.6	24.2	20.9	23.6	4.8	6.1	4.4
COG0055	41.0	5.8	11.4	46.7	31.9	181.6	16.7	20.5	18.8	4.1	2.0	4.5	143.3	48.6	29.9	29.1	38.8	41.6
COG0056	145.1	57.6	36.4	273.5	296.8	231.7	40.6	65.6	30.0	7.2	6.5	8.0	100.5	91.7	192.1	32.3	40.4	41.3
COG0057	32.4	23.3	19.5	33.3	43.0	110.1	44.1	98.9	7.1	3.5	2.0	2.5	71.7	57.4	69.9	10.6	10.3	11.4
COG0058	126.4	22.0	41.9	163.0	150.8	186.9	82.7	111.9	19.1	3.6	3.1	2.3	134.4	119.2	179.3	9.6	17.6	14.9
COG0059	26.2	4.1	13.3	25.3	26.3	50.4	18.4	25.5	12.4	2.2	2.9	2.7	198.8	100.1	213.3	17.9	28.5	22.9
COG0060	14.0	35.9	28.4	34.0	18.0	189.3	28.1	47.2	20.3	4.8	4.3	6.3	162.5	137.0	172.2	23.2	28.6	28.6
COG0061	27.3	21.9	21.7	97.4	88.8	84.4	26.8	33.1	16.4	9.0	6.7	6.2	34.7	40.4	38.4	25.4	29.4	25.4
COG0062	5.7	4.2	10.7	1.0	1.0	2.0	10.6	1.9	4.3	4.0	7.4	9.0	0	0	0	34.0	41.6	22.0
COG0063	86.5	3.1	21.7	12.3	3.0	62.0	4.8	9.7	8.5	2.6	4.0	5.9	79.5	35.4	21.9	10.5	15.6	9.5
COG0064	35.1	5.4	25.3	37.1	17.3	132.2	13.2	37.5	5.9	5.0	4.3	4.1	101.7	53.7	54.5	17.9	18.4	16.9
COG0065	59.8	43.8	24.7	19.0	34.3	67.3	125.7	273.2	10.9	2.4	1.9	2.0	54.4	64.1	80.0	12.1	11.6	12.1
COG0066	18.5	16.6	6.8	17.3	9.0	71.7	58.9	191.1	7.4	1.4	1.0	2.0	19.1	27.4	28.8	6.0	5.1	8.7
COG0068	0	0	0	0	75.0	20.7	0	0	0	0	2.0	1.0	74.5	233.8	65.4	0	2.0	4.0
COG0069	110.8	24.4	55.0	38.4	13.8	60.4	123.3	68.4	19.7	1.3	2.0	2.8	111.3	81.2	99.8	4.4	8.5	11.0
COG0070	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
COG0071	10.0	25.0	16.4	12.1	10.7	8.0	61.0	92.8	8.3	2.0	1.2	1.0	15.5	15.0	19.0	3.3	3.5	4.7
COG0072	3.0	6.9	5.0	1.9	2.8	2.1	10.2	15.3	8.1	5.6	5.4	8.5	0	0	2.0	22.4	23.3	24.3
COG0073	4.2	6.9	4.9	2.0	1.0	5.8	7.2	30.8	7.5	8.8	7.1	4.5	2.0	6.6	2.0	39.8	31.2	23.2
COG0074	60.0	23.3	18.4	16.9	13.9	107.9	8.6	13.6	10.3	2.5	1.7	2.6	33.2	23.6	40.9	9.5	10.8	10.7
COG0075	7.7	32.7	16.8	22.3	11.3	20.9	91.8	79.7	5.7	5.0	3.7	3.6	57.9	66.2	79.7	21.9	25.2	20.1
COG0076	16.8	26.4	21.9	72.9	84.6	50.4	25.8	11.7	13.5	6.3	5.3	4.9	49.8	44.6	42.9	18.9	23.2	19.9
COG0077	4.8	13.3	13.2	1.7	2.0	3.1	10.7	13.8	7.0	8.2	5.4	10.6	1.7	29.8	0	14.8	19.5	17.2
COG0078	67.2	37.9	14.0	28.0	21.0	77.4	56.8	49.5	6.3	2.4	2.6	3.1	63.4	53.2	67.9	8.1	10.0	8.8
COG0079	47.0	23.5	26.7	51.0	107.1	58.6	65.1	82.7	13.0	2.9	3.5	2.4	44.1	39.1	39.2	10.5	11.7	12.3
COG0080	18.4	7.4	16.7	24.0	20.8	54.9	10.9	15.7	5.8	2.2	3.3	1.7	32.2	28.1	32.6	4.6	6.1	6.1
COG0081	52.8	3.8	19.0	47.4	14.5	88.3	5.6	3.3	9.8	2.0	3.3	1.9	97.1	36.2	60.4	9.2	13.3	9.0
COG0082	49.0	33.1	38.8	106.8	130.0	166.4	31.3	43.4	17.8	3.8	2.3	2.4	82.9	44.9	54.8	13.4	17.1	16.3
COG0083	48.0	31.0	26.9	601.9	822.3	226.0	62.2	11.9	26.7	2.4	2.0	1.4	65.7	88.1	106.7	9.9	14.0	11.9
COG0084	34.3	15.4	15.6	19.8	14.4	46.2	48.4	78.8	9.7	3.7	2.6	3.0	54.9	40.6	45.7	9.7	14.1	12.0
COG0085	53.2	57.7	33.3	25.4	23.6	120.1	30.5	41.8	22.6	10.7	8.1	7.7	82.6	73.5	139.8	49.8	56.6	57.8
COG0086	108.3	94.4	45.8	673.1	810.9	457.3	54.9	69.4	67.8	17.9	17.4	11.1	127.0	39.1	113.8	77.5	91.8	79.9
COG0087	73.0	29.8	26.3	274.5	349.8	226.5	34.0	35.6	27.3	3.8	2.9	3.7	98.9	55.9	69.4	12.0	15.6	14.4
COG0088	39.3	22.1	19.7	199.8	207.6	154.7	24.2	26.1	19.1	5.0	2.9	2.6	40.3	38.3	34.0	14.7	15.7	12.8
COG0089	4.8	2.8	3.4	5.6	27.6	43.2	7.7	13.9	3.4	1.4	1.0	1.0	5.1	6.5	3.4	5.0	5.0	3.8
COG0090	33.9	5.3	17.5	31.6	25.8	113.2	23.0	45.1	11.3	6.5	4.7	5.2	58.5	44.4	21.9	19.3	23.2	25.8
COG0091	47.3	21.7	16.1	273.1	307.2	153.0	13.3	26.2	14.7	1.1	1.0	1.3	44.0	24.6	37.0	5.3	3.7	5.0
COG0092	32.3	2.8	22.9	25.2	71.6	145.6	15.5	15.8	7.1	3.4	2.6	2.0	132.0	74.1	114.3	5.7	11.7	9.2
COG0093	3.8	2.1	5.8	7.5	18.3	61.9	7.6	14.5	4.4	1.4	1.4	2.4	24.1	16.6	19.9	4.3	4.3	4.9
COG0094	45.5	17.3	15.7	145.9	184.1	134.8	24.7	27.7	14.5	2.8	2.6	2.1	41.6	15.1	32.5	10.1	11.7	12.0
COG0095	17.6	13.6	15.6	107.0	106.5	91.3	46.4	47.1	21.6	5.0	4.3	5.0	17.8	25.1	41.5	9.5	13.0	11.3
COG0096	40.2	13.5	15.3	175.0	173.2	126.4	13.2	12.8	13.6	2.5	2.7	3.7	39.9	18.2	27.6	9.2	10.7	10.2
COG0097	90.9	28.1	28.4	356.3	431.7	275.5	21.5	27.8	18.5	1.7	1.5	1.7	48.5	38.7	72.9	4.9	6.8	7.9
COG0098	31.5	16.4	15.5	120.5	141.2	120.4	24.5	19.5	17.6	4.7	2.6	6.2	69.5	46.3	70.0	15.1	19.2	16.8
COG0099	47.4	27.5	9.6	259.3	282.8	128.1	22.0	41.8	16.4	2.3	3.4	1.8	93.8	33.3	49.5	7.5	10.9	8.8
COG0100	38.9	16.8	10.7	223.8	253.3	148.5	18.1	28.3	14.3	3.0	3.7	2.4	16.5	13.4	20.7	10.5	13.4	12.5
COG0101	16.2	13.8	16.8	11.6	18.0	43.7	28.4	25.7	11.6	9.6	6.2	6.5	45.0	28.8	41.4	34.6	33.7	29.5
COG0102	28.2	8.1	9.0	14.3	21.4	48.0	14.1	25.8	6.5	1.3	1.3	1.8	67.5	26.0	37.0	4.8	4.5	5.2
COG0103	7.6	9.3	5.2	6.9	10.8	41.4	18.4	16.4	10.2	9.0	7.3	6.9	17.5	16.7	30.2	31.5	30.0	29.8
COG0104	62.8	5.1	48.6	39.4	38.3	86.6	70.0	128.1	12.8	4.6	3.5	1.9	75.4	73.1	86.4	9.8	12.8	14.6
COG0105	41.3	41.0	9.1	9.6	10.9	9.3	17.9	82.1	5.5	1.0	1.6	1.6	32.0	19.0	25.6	3.3	5.2	5.2
COG0106	39.5	10.1	17.3	25.5	18.4	47.1	28.2	40.3	8.3	2.3	1.4	2.3	55.8	38.7	47.2	5.3	6.6	6.4
COG0107	28.4	3.7	28.9	39.4	22.0	103.3	89.0	163.0	10.9	1.2	1.5	1.5	45.5	34.6	45.2	4.8	4.9	3.5
COG0108	36.4	8.0	9.9	9.5	1.0	63.2	25.6	9.0	5.1	5.7	4.0	4.0	24.9	29.6	42.6	13.7	16.8	13.5
COG0109	78.0	32.6	26.0	280.6	216.4	235.0	52.0	61.7	38.5	5.5	7.8	5.8	79.8	60.6	68.6	24.5	19.9	16.1
COG0110	17.9	12.4	24.5	138.4	163.8	90.2	14.2	15.1	26.7	2.7	3.5	2.2	55.9	19.1	31.2	9.1	10.3	8.9
COG0111	47.8	21.6	20.0	61.6	59.5	96.0	40.9	51.6	10.5	3.6	3.0	3.5	67.7	41.3	60.3	13.5	14.9	13.8
COG0112	88.8	8.7	17.7	36.2	37.9	70.7	97.1	68.2	10.4	4.6	4.3	4.8	79.0	60.3	62.5	14.6	15.4	16.6
COG0113	37.2	9.7	29.3	19.1	28.3	43.6	94.8	115.8	9.4	5.8	5.8	2.9	78.8	63.8	88.7	17.5	17.6	16.0
COG0114	54.6	31.0	29.3	23.1	26.4	79.7	79.7	120.4	11.8	3.4	2.5	2.1	78.3	65.6	71.2	14.7	11.9	15.0
COG0115	16.9	7.6	15.4	24.6	11.8	40.3	34.4	55.7	9.0	5.2	4.2	3.9	32.0	40.4	43.4	13.7	17.7	14.5
COG0116	0	5.0	3.7	0	26.0	1.0	1.2	2.3	11.1	7.6	5.5	1.0	31.0	47.3	37.0	5.3	4.7	5.4
COG0117	1.6	3.6	2.6	1.0	6.8	1.0	5.4	5.1	3.3	11.0	2.5	8.0	1.0	0	1.0	8.7	11.2	10.6
COG0118	108.2	19.9	39.9	30.1	23.3	110.0	49.2	153.8	8.7	1.5	1.3	1.4	38.5	37.4	40.9	4.3	6.1	4.7
COG0119	35.8	26.3	19.6	46.6	58.2	105.6	54.8	110.9	17.3	4.7	2.8	4.3	59.7	58.6	81.7	13.4	18.0	16.7
COG0120	24.4	15.5	13.4	17.3	16.1	49.1	30.7	77.5	7.0	4.9	4.0	4.8	42.6	39.7	51.7	16.6	15.8	13.4
COG0121	3.0	19.4	19.5	14.7	9.1	14.6	26.5	28.5	7.9	6.8	6.5	6.6	53.8	42.3	60.9	22.9	20.9	24.0
COG0122	15.9	8.0	8.9	9.4	8.4	19.7	40.1	21.8	8.7	6.6	4.4	6.3	23.2	19.6	24.6	17.6	23.1	16.5
COG0123	30.7	11.8	16.5	11.3	11.7	59.3	27.8	37.8	10.9	9.9	9.5	8.6	66.7	34.5	31.5	38.3	45.5	35.3
COG0124	40.7	23.7	20.5	20.2	25.9	72.3	28.9	37.3	14.9	2.9	2.6	2.6	77.7	45.0	54.9	12.7	14.9	14.6
COG0125	7.3	7.2	10.3	19.1	9.3	33.0	38.6	59.7	6.8	5.9	2.5	3.2	36.5	102.7	44.4	11.1	13.0	13.9
COG0126	44.7	28.4	20.6	25.2	52.4	43.9	59.9	86.1	9.6	6.6	3.0	2.5	187.6	79.4	100.5	17.0	16.8	17.5
COG0127	55.9	21.5	11.8	20.7	27.8	54.3	46.5	58.8	1.9	1.7	1.1	1.3	34.2	29.2	38.0	2.8	7.9	3.5
COG0128	7.3	19.4	51.2	40.7	52.8	102.1	2.2	2.0	22.2	0	1.5	1.1	80.0	51.2	59.6	7.1	10.3	5.3
COG0129	30.9	9.4	43.7	39.8	31.9	112.3	43.3	67.5	12.2	5.7	4.7	5.7	100.4	88.4	102.3	19.4	21.3	19.7
COG0130	29.9	17.6	15.5	33.4	31.2	44.4	33.5	58.9	12.0	3.7	3.9	4.1	48.5	59.8	67.5	14.4	14.9	11.7
COG0131	33.7	6.8	15.2	12.7	15.0	22.0	33.1	51.1	7.5	1.6	2.1	1.9	42.5	38.2	35.1	4.3	4.9	7.0
COG0132	72.0	63.7	48.2	125.2	122.4	117.1	60.0	142.8	23.3	1.6	1.5	1.3	59.1	29.3	45.9	5.3	10.9	5.1
COG0133	111.4	18.8	47.2	33.8	23.9	90.1	82.5	83.1	7.5	2.1	1.5	2.8	55.8	62.5	74.1	5.3	8.8	7.0
COG0134	80.9	29.5	19.2	29.7	23.9	44.5	50.0	66.4	12.0	3.6	4.1	0	31.8	35.2	30.6	3.7	4.5	4.5
COG0135	77.4	13.7	29.7	24.3	15.3	64.2	40.4	134.7	10.2	0	1.0	0	24.2	25.7	30.9	2.0	3.1	5.5
COG0136	58.6	12.1	31.0	37.2	45.6	96.8	55.0	94.6	10.8	3.3	1.5	2.5	38.8	40.2	67.2	10.5	12.7	10.2
COG0137	18.9	25.4	20.9	28.7	25.0	70.0	22.4	17.8	12.3	2.0	1.6	1.9	64.5	59.5	69.9	8.7	9.9	9.8
COG0138	66.4	42.1	46.1	110.9	63.6	189.3	27.9	50.7	17.7	4.5	3.7	5.2	83.3	74.3	90.7	15.9	19.8	19.9
COG0139	65.5	5.7	16.2	18.8	15.4	32.8	40.1	367.0	6.0	1.6	1.0	1.0	24.9	30.4	35.5	1.8	2.4	2.9
COG0140	37.3	0	12.0	9.2	19.1	11.1	137.0	230.0	5.5	1.0	0	0	29.5	22.1	24.2	2.6	1.6	2.7
COG0141	60.1	53.4	49.1	162.0	136.1	182.3	149.0	133.3	37.4	2.5	1.0	1.4	72.6	50.7	56.0	4.5	6.0	6.8
COG0142	36.4	22.3	19.4	71.8	73.0	76.2	27.3	31.6	16.5	6.7	6.1	4.9	49.6	45.1	52.5	19.2	23.5	18.8
COG0143	4.4	9.2	10.8	56.5	3.8	174.8	9.5	11.5	7.4	6.5	7.2	5.3	20.6	7.0	5.9	28.0	34.0	29.0
COG0144	39.6	21.2	19.9	72.8	126.2	85.5	15.6	50.7	19.5	11.9	8.0	7.3	62.5	49.0	92.2	41.2	52.2	38.3
COG0145	43.0	41.6	30.9	668.9	844.5	483.1	98.0	8.3	56.9	2.6	2.8	3.7	130.9	62.2	104.5	4.8	7.9	5.1
COG0146	0	6.4	56.9	1.0	0	0	150.7	2.0	4.1	2.0	2.2	3.0	178.2	38.9	84.4	7.2	11.2	11.1
COG0147	69.5	30.0	37.7	36.0	39.9	93.0	75.2	181.8	9.2	3.7	2.7	3.8	88.5	54.2	61.1	14.3	14.7	11.3
COG0148	44.9	48.3	67.6	240.2	345.0	263.0	46.7	61.7	44.1	2.5	2.3	3.5	110.7	72.3	128.2	12.1	16.3	16.2
COG0149	33.0	23.3	13.0	10.3	44.5	21.3	30.7	56.7	7.7	2.8	2.5	2.3	56.9	41.6	70.0	11.3	12.5	13.2
COG0150	67.6	25.4	26.1	44.0	102.3	142.6	60.7	103.7	11.2	2.9	1.7	2.2	103.4	52.7	82.9	8.2	10.9	8.5
COG0151	61.7	28.9	53.8	52.3	13.3	149.2	5.7	7.2	10.5	6.2	5.9	4.8	62.5	61.4	80.8	15.2	19.9	18.7
COG0152	27.8	4.3	8.2	15.1	19.6	25.1	26.1	44.2	11.2	2.1	2.2	1.7	71.8	44.0	56.0	6.1	8.8	7.7
COG0153	4.3	26.3	7.9	4.7	5.6	3.4	28.9	10.1	9.6	3.7	7.4	3.4	26.2	35.7	99.0	18.3	20.3	16.7
COG0154	16.7	9.6	15.0	40.9	31.8	92.7	22.6	29.5	8.7	6.0	6.9	5.1	62.8	44.1	61.6	21.9	26.6	22.5
COG0155	81.1	7.4	24.6	42.4	27.0	125.8	127.0	122.9	9.4	1.5	1.6	2.2	90.7	72.4	74.5	6.9	11.8	7.7
COG0156	23.4	26.8	22.1	26.8	32.9	44.1	31.9	35.2	13.4	6.9	5.9	5.0	74.1	57.0	55.9	25.5	29.4	24.3
COG0157	39.2	13.7	13.1	15.9	14.2	50.0	21.6	52.1	8.3	3.6	4.2	3.9	33.1	35.5	54.5	11.9	11.2	11.5
COG0158	64.5	9.3	25.0	26.0	24.6	118.3	7.3	6.4	13.2	5.4	3.6	2.7	67.7	45.8	48.5	15.9	19.3	20.9
COG0159	18.5	46.2	11.2	94.5	90.0	119.6	71.3	51.6	26.2	1.7	1.0	2.7	55.2	28.9	36.3	1.9	6.2	4.4
COG0160	49.5	41.2	40.6	113.9	83.0	148.7	50.5	46.5	21.8	6.3	3.8	3.9	95.4	55.8	74.7	14.9	15.4	13.5
COG0161	47.9	18.9	25.8	20.2	25.3	94.3	65.5	57.1	8.7	4.3	4.4	3.5	78.9	57.2	72.5	14.0	16.3	15.1
COG0162	39.7	17.3	23.2	24.9	132.4	88.4	40.4	53.9	11.4	3.4	3.7	3.5	54.0	75.6	92.2	16.5	19.1	15.2
COG0163	56.6	9.5	19.6	12.2	21.7	33.1	47.9	43.1	5.1	1.3	1.6	1.0	30.3	21.8	26.5	6.2	7.5	5.2
COG0164	20.1	7.8	8.5	5.9	5.5	11.2	33.2	49.5	6.3	6.5	5.0	2.7	36.5	41.9	54.9	14.0	16.6	10.6
COG0165	59.5	20.4	18.4	44.3	73.9	120.9	72.2	45.2	7.0	3.2	2.4	3.2	83.3	55.4	74.2	13.2	16.3	15.6
COG0166	3.8	33.4	27.5	56.0	83.7	167.6	66.5	82.3	13.1	2.3	2.8	2.1	86.3	98.8	116.5	15.3	17.6	17.7
COG0167	29.0	19.4	23.4	34.6	17.9	86.9	48.3	33.1	10.5	7.5	6.2	5.0	61.5	35.0	58.8	20.3	21.2	20.5
COG0168	35.4	22.2	29.6	182.6	169.2	105.7	45.0	49.6	19.0	7.6	7.5	7.5	57.4	58.6	69.2	26.5	29.8	29.3
COG0169	25.7	18.6	10.5	20.1	53.2	53.9	32.9	42.1	9.5	6.8	5.3	5.3	45.1	38.8	43.6	19.1	22.4	16.1
COG0170	4.7	14.6	10.4	1.8	3.6	3.1	13.7	17.7	15.4	14.8	9.4	11.0	3.0	1.8	2.0	52.1	63.4	52.5
COG0171	69.3	3.9	17.1	16.8	32.4	43.5	87.4	106.5	11.7	1.6	2.6	2.9	47.9	48.0	47.4	7.5	11.1	11.7
COG0172	34.5	27.7	30.6	10.3	46.7	21.6	33.4	39.9	10.2	4.5	3.7	2.7	47.0	46.1	74.1	16.3	21.1	17.7
COG0173	37.6	26.5	34.2	36.6	60.0	92.1	62.0	58.5	13.2	9.9	6.2	4.8	129.5	101.4	132.2	20.7	24.1	25.9
COG0174	92.2	20.8	28.8	67.0	70.4	109.6	113.5	173.8	10.8	2.8	2.6	3.0	105.8	77.3	106.3	8.9	11.3	10.8
COG0175	35.4	6.2	13.3	20.3	34.6	57.1	20.4	33.9	9.5	3.1	3.1	2.5	102.0	54.2	66.1	11.5	11.5	8.7
COG0176	31.2	31.2	20.6	162.3	127.8	82.5	53.2	62.9	19.0	3.4	2.7	2.4	96.9	44.7	88.4	8.3	11.7	8.2
COG0177	11.9	9.9	12.9	5.8	7.9	11.1	25.0	42.7	11.0	9.5	8.2	5.9	27.2	30.0	32.5	20.4	20.5	21.4
COG0178	45.7	59.6	38.0	236.6	283.3	341.9	115.6	163.5	42.9	2.9	2.1	2.6	116.3	101.1	135.3	13.3	14.0	14.3
COG0179	19.0	9.7	14.1	16.5	20.5	48.9	37.0	31.5	6.3	4.0	3.9	3.4	58.9	40.1	51.2	14.2	15.9	14.4
COG0180	4.6	8.4	17.4	20.2	24.0	26.0	40.9	69.3	10.3	6.5	5.2	6.2	63.5	52.9	82.6	19.0	24.2	22.0
COG0181	58.1	11.8	36.6	17.2	25.3	69.9	37.5	35.5	8.1	5.7	6.9	4.2	50.3	40.2	58.8	16.3	20.5	15.5
COG0182	30.8	6.1	11.4	10.0	16.9	39.6	43.9	44.5	3.9	1.6	2.8	1.6	40.9	31.6	46.4	12.4	11.5	12.1
COG0183	50.0	11.1	30.5	43.6	40.5	92.3	57.3	66.0	10.3	5.2	3.7	2.8	51.9	45.0	48.5	13.7	16.0	13.8
COG0184	1.0	9.2	4.6	5.2	6.0	6.1	7.0	17.2	3.2	1.0	1.0	2.3	10.1	8.0	8.7	3.5	3.6	3.5
