COGs	BG1	BG2	BG3	BP1	BP2	BP3	BS1	BS2	BS3	RG1	RG2	RG3	RP1	RP2	RP3	RS1	RS2	RS3
COG2804	125.8	21.8	25.9	39.3	35.5	71.8	131.2	85.8	18.4	2.0	1.9	1.8	76.2	70.3	75.1	5.9	10.0	8.2
COG2805	96.5	97.6	32.4	160.4	207.2	157.1	135.7	102.8	28.7	3.4	2.8	2.1	93.0	58.0	63.3	7.6	8.8	6.4
COG2807	52.0	51.2	26.6	76.8	132.5	154.2	103.9	134.1	78.5	2.0	1.9	2.9	74.0	58.2	92.3	5.1	7.4	7.2
COG2808	2.4	9.9	11.7	30.0	13.6	45.8	38.8	71.6	7.4	9.1	3.1	1.5	57.7	28.8	21.1	12.0	13.0	11.0
COG2812	45.1	44.1	97.6	313.3	312.4	403.5	107.8	198.6	45.0	2.8	2.3	3.3	130.0	63.2	100.3	8.5	11.1	9.9
COG2813	111.5	58.1	39.0	37.5	26.4	89.3	82.9	102.9	5.2	1.3	2.0	1.8	87.2	63.7	92.1	9.7	10.3	9.9
COG2814	80.1	40.8	36.1	68.4	107.8	83.0	101.8	112.2	22.1	2.2	2.2	2.6	71.2	44.3	54.9	7.3	11.1	7.9
COG2816	38.4	23.4	22.9	99.6	128.3	129.0	35.8	65.1	15.1	2.5	2.0	2.8	23.7	43.5	55.8	12.8	15.8	12.4
COG2818	74.9	3.3	24.6	29.6	23.8	103.1	51.8	325.1	11.1	1.9	1.8	1.9	58.2	46.4	42.2	3.3	7.3	6.0
COG2819	62.2	17.8	11.8	38.6	30.6	177.6	4.6	4.1	14.7	2.8	2.0	2.0	40.8	43.5	31.4	8.2	9.9	7.3
COG2820	0	0	233.0	0	47.0	0	43.9	4.3	11.9	2.0	1.4	2.5	85.2	20.4	59.4	3.8	8.1	4.2
COG2821	168.3	9.9	23.2	20.6	41.3	72.6	138.7	320.7	3.4	2.6	2.0	1.3	115.4	61.0	99.9	22.9	10.8	10.1
COG2822	26.0	46.6	34.4	27.7	18.0	90.4	159.5	301.4	3.0	1.4	2.0	2.0	37.3	45.1	49.8	12.0	7.0	5.0
COG2823	21.5	24.5	19.7	16.0	17.5	37.7	42.5	123.8	4.5	1.4	1.8	3.3	38.4	36.0	48.0	4.5	7.3	4.4
COG2824	12.8	27.0	25.0	8.8	6.0	24.8	25.2	30.0	3.0	1.0	1.0	1.0	19.0	14.7	17.2	4.5	5.1	3.4
COG2825	120.1	19.4	9.3	27.0	14.9	57.5	37.2	82.8	2.2	0	1.6	1.3	50.7	27.4	35.6	7.7	9.2	7.9
COG2826	3.0	5.2	1.0	21.0	103.7	6.5	11.4	9.3	19.4	1.7	1.6	1.6	6.8	20.2	13.0	12.6	18.5	18.7
COG2827	2.0	1.0	3.4	10.8	7.3	22.8	36.7	110.0	2.9	1.0	0	0	15.6	16.6	21.6	1.6	3.0	1.3
COG2828	20.6	9.0	11.7	27.9	15.4	64.4	58.1	34.8	11.3	5.4	4.9	4.5	48.1	39.7	50.2	16.9	17.6	18.7
COG2829	2.0	2.0	93.3	0	0	36.0	87.2	1.5	19.3	1.9	1.8	5.9	171.1	40.8	103.6	15.8	25.4	15.8
COG2831	129.8	74.5	81.3	54.8	34.9	90.7	198.0	166.6	13.5	1.7	1.6	1.4	106.2	77.9	89.8	12.0	17.4	11.6
COG2832	62.8	9.8	19.6	14.3	11.1	26.6	39.1	61.6	2.3	1.0	1.0	0	16.6	14.9	17.7	1.2	2.5	1.8
COG2833	5.0	9.0	10.4	0	4.0	6.0	12.8	9.7	14.1	8.7	3.2	4.2	0	0	2.0	22.8	32.4	25.5
COG2834	33.3	23.2	22.5	18.8	22.6	25.5	37.5	70.6	8.2	1.4	2.0	3.0	29.7	31.5	33.1	3.7	4.5	2.9
COG2835	3.0	0	14.1	4.5	3.0	13.7	19.4	0	1.0	0	0	0	17.0	3.5	4.7	1.0	0	0
COG2836	106.0	0	11.7	7.2	8.9	16.8	84.1	125.2	10.6	2.0	0	0	33.4	26.8	28.9	1.0	4.0	2.3
COG2837	81.1	50.6	37.0	21.4	32.3	114.0	114.5	93.0	5.7	2.0	2.0	3.0	51.1	41.4	62.3	8.5	10.0	6.2
COG2838	14.7	4.0	11.4	52.5	41.7	286.4	85.8	147.5	24.0	4.1	2.1	1.8	89.3	86.8	99.7	6.3	8.5	11.6
COG2840	38.5	19.7	29.2	15.8	41.8	32.1	45.0	96.5	5.5	1.0	1.0	1.6	53.4	21.4	29.4	5.7	3.8	6.1
COG2843	1.0	0	161.4	0	4.5	6.5	2.0	2.0	0	2.0	2.0	1.7	0	0	0	5.5	7.9	10.1
COG2844	112.0	80.0	93.3	47.9	32.0	255.1	151.0	96.4	22.7	2.9	2.1	2.3	122.1	122.9	156.4	14.8	22.4	8.9
COG2846	0	0	0	0	18.0	13.0	0	0	0	0	0	0	8.0	30.2	20.3	4.0	3.2	2.0
COG2847	57.2	16.9	14.8	17.5	12.8	36.1	47.0	95.2	7.9	0	0	1.0	22.8	22.7	24.8	1.0	3.5	2.4
COG2848	0	2.0	0	4.0	406.0	15.0	0	0	0	0	1.0	0	53.0	7.0	32.0	0	45.0	0
COG2849	0	0	0	0	10.0	0	0	0	0	0	0	1.0	0	48.6	88.0	0	0	0
COG2850	21.5	26.5	64.5	128.0	90.0	153.7	161.7	131.1	27.6	1.5	1.2	1.4	37.7	31.4	52.4	2.5	5.6	3.0
