OTUNumber	Plant	Stage
BG1	Bean	Germinating
BG2	Bean	Germinating
BG3	Bean	Germinating
BP1	Bean	Seedling
BP2	Bean	Seedling
BP3	Bean	Seedling
BS1	Bean	Seed
BS2	Bean	Seed
BS3	Bean	Seed
RG1	Radish	Germinating
RG2	Radish	Germinating
RG3	Radish	Germinating
RP1	Radish	Seedling
RP2	Radish	Seedling
RP3	Radish	Seedling
RS1	Radish	Seed
RS2	Radish	Seed
RS3	Radish	Seed
