Genus_id	Kingdom	Phylum	Class	Order	Family	Genus
NOG137041	Bacteria	Proteobacteria	S	S	S	S
NOG137044	Bacteria	Proteobacteria	R	R	R	R
NOG137056	Bacteria	Proteobacteria	S	S	S	S
NOG137063	Bacteria	Proteobacteria	S	S	S	S
NOG137138	Bacteria	Proteobacteria	S	S	S	S
NOG137233	Bacteria	Proteobacteria	S	S	S	S
NOG137286	Bacteria	Proteobacteria	S	S	S	S
NOG13729	Bacteria	Proteobacteria	R	R	R	R
NOG137291	Bacteria	Proteobacteria	S	S	S	S
NOG137391	Bacteria	Proteobacteria	S	S	S	S
NOG137394	Bacteria	Proteobacteria	S	S	S	S
NOG137409	Bacteria	Proteobacteria	S	S	S	S
NOG137421	Bacteria	Proteobacteria	S	S	S	S
NOG137460	Bacteria	Proteobacteria	S	S	S	S
NOG137553	Bacteria	Proteobacteria	S	S	S	S
NOG137577	Bacteria	Proteobacteria	S	S	S	S
NOG137669	Bacteria	Proteobacteria	S	S	S	S
NOG137683	Bacteria	Proteobacteria	S	S	S	S
NOG137694	Bacteria	Proteobacteria	R	R	R	R
NOG137701	Bacteria	Proteobacteria	S	S	S	S
NOG137715	Bacteria	Proteobacteria	S	S	S	S
NOG137774	Bacteria	Proteobacteria	S	S	S	S
NOG137838	Bacteria	Proteobacteria	S	S	S	S
NOG137881	Bacteria	Proteobacteria	S	S	S	S
NOG137884	Bacteria	Proteobacteria	S	S	S	S
NOG137902	Bacteria	Proteobacteria	S	S	S	S
NOG137932	Bacteria	Proteobacteria	S	S	S	S
NOG138035	Bacteria	Proteobacteria	R	R	R	R
NOG138095	Bacteria	Proteobacteria	S	S	S	S
NOG13816	Bacteria	Proteobacteria	T	T	T	T
NOG138169	Bacteria	Proteobacteria	L	L	L	L
NOG138189	Bacteria	Proteobacteria	S	S	S	S
NOG138243	Bacteria	Proteobacteria	S	S	S	S
NOG138276	Bacteria	Proteobacteria	S	S	S	S
NOG138299	Bacteria	Proteobacteria	R	R	R	R
NOG138374	Bacteria	Proteobacteria	S	S	S	S
NOG138381	Bacteria	Proteobacteria	S	S	S	S
NOG138405	Bacteria	Proteobacteria	R	R	R	R
NOG138432	Bacteria	Proteobacteria	S	S	S	S
NOG138459	Bacteria	Proteobacteria	S	S	S	S
NOG138496	Bacteria	Proteobacteria	S	S	S	S
NOG138606	Bacteria	Proteobacteria	S	S	S	S
NOG138625	Bacteria	Proteobacteria	S	S	S	S
NOG138632	Bacteria	Proteobacteria	S	S	S	S
NOG13873	Bacteria	Proteobacteria	S	S	S	S
NOG138763	Bacteria	Proteobacteria	S	S	S	S
NOG138793	Bacteria	Proteobacteria	S	S	S	S
NOG138844	Bacteria	Proteobacteria	S	S	S	S
NOG138911	Bacteria	Proteobacteria	S	S	S	S
NOG138926	Bacteria	Proteobacteria	R	R	R	R
NOG138934	Bacteria	Proteobacteria	S	S	S	S
NOG13902	Bacteria	Proteobacteria	S	S	S	S
NOG139032	Bacteria	Proteobacteria	S	S	S	S
NOG139058	Bacteria	Proteobacteria	R	R	R	R
NOG139152	Bacteria	Proteobacteria	S	S	S	S
NOG139252	Bacteria	Proteobacteria	S	S	S	S
NOG139253	Bacteria	Proteobacteria	S	S	S	S
NOG139313	Bacteria	Proteobacteria	R	R	R	R
NOG139349	Bacteria	Proteobacteria	V	V	V	V
NOG139479	Bacteria	Proteobacteria	S	S	S	S
NOG139503	Bacteria	Proteobacteria	S	S	S	S
NOG139518	Bacteria	Proteobacteria	K	K	K	K
NOG139555	Bacteria	Proteobacteria	S	S	S	S
NOG139586	Bacteria	Proteobacteria	S	S	S	S
NOG139641	Bacteria	Proteobacteria	S	S	S	S
NOG139691	Bacteria	Proteobacteria	T	T	T	T
NOG139745	Bacteria	Proteobacteria	S	S	S	S
NOG139814	Bacteria	Proteobacteria	S	S	S	S
NOG139883	Bacteria	Proteobacteria	S	S	S	S
NOG139913	Bacteria	Proteobacteria	S	S	S	S
NOG139963	Bacteria	Proteobacteria	S	S	S	S
NOG139976	Bacteria	Proteobacteria	S	S	S	S
NOG140068	Bacteria	Proteobacteria	S	S	S	S
NOG140070	Bacteria	Proteobacteria	I	I	I	I
NOG140088	Bacteria	Proteobacteria	S	S	S	S
NOG140129	Bacteria	Proteobacteria	S	S	S	S
NOG140161	Bacteria	Proteobacteria	S	S	S	S
NOG140165	Bacteria	Proteobacteria	S	S	S	S
NOG140221	Bacteria	Proteobacteria	S	S	S	S
NOG140282	Bacteria	Proteobacteria	S	S	S	S
NOG140309	Bacteria	Proteobacteria	S	S	S	S
NOG140367	Bacteria	Proteobacteria	S	S	S	S
NOG140467	Bacteria	Proteobacteria	O	O	O	O
