;Name;Year;Project;Experiment;Material;Treatment;ExpTreatment;Name2;Treatment2;plantID;Plant
OC2-H04_S224;OC2-H04_S224;2018;Bee2Seed;Osmia;Nectar;Nectar;Osmia_Nectar;OC2;NA;OB2;0
OC3-A05_S225;OC3-A05_S225;2018;Bee2Seed;Osmia;Nectar;Nectar;Osmia_Nectar;OC3;NA;OB3;0
OC4-B05_S226;OC4-B05_S226;2018;Bee2Seed;Osmia;Nectar;Nectar;Osmia_Nectar;OC4;NA;OB4;0
OC5-C05_S227;OC5-C05_S227;2018;Bee2Seed;Osmia;Nectar;Nectar;Osmia_Nectar;OC5;NA;OB5;0
OC6-D05_S228;OC6-D05_S228;2018;Bee2Seed;Osmia;Nectar;Nectar;Osmia_Nectar;OC6;NA;OB6;0
OC7-E05_S229;OC7-E05_S229;2018;Bee2Seed;Osmia;Nectar;Nectar;Osmia_Nectar;OC7;NA;OB7;0
OC8-F05_S230;OC8-F05_S230;2018;Bee2Seed;Osmia;Nectar;Nectar;Osmia_Nectar;OC8;NA;OB8;0
OC9-G05_S231;OC9-G05_S231;2018;Bee2Seed;Osmia;Nectar;Nectar;Osmia_Nectar;OC9;NA;OB9;0
PB1-G06_S239;PB1-G06_S239;2018;Bee2Seed;Honey;Pollen;Pollenball;Honey_Pollenball;PB1G06_S239;NA;NA;NA
PB3-A08_S241;PB3-A08_S241;2018;Bee2Seed;Honey;Pollen;Pollenball;Honey_Pollenball;PB3A08_S241;NA;NA;NA
PC6-D06_S236;PC6-D06_S236;2018;Bee2Seed;Honey;Pollen;Pollen;Honey_Pollen;PC6-D06;NA;NA;NA
PC8-F06_S238;PC8-F06_S238;2018;Bee2Seed;Honey;Pollen;Pollen;Honey_Pollen;PC8F06_S238;NA;NA;NA
