x;Kingdom;Phylum;Class;Order;Family;Genus
ASV0871;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium
ASV0872;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Clavibacter
ASV0873;Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus
ASV0874;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Peptostreptococcus
ASV0875;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria
ASV0876;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas
ASV0877;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae_1;Bacillus
ASV0878;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiopsaceae;Thermobifida
ASV0879;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Rufibacter
ASV0880;Bacteria;NA;NA;NA;NA;NA
ASV0881;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Curtobacterium
ASV0882;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus
ASV0883;Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter
ASV0884;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Rhizorhabdus
ASV0885;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium
ASV0886;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella
ASV0887;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus
ASV0888;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
ASV0889;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Curtobacterium
ASV0890;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;NA
ASV0891;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Flavisolibacter
ASV0892;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA
ASV0893;Bacteria;Cyanobacteria/Chloroplast;Chloroplast;Chloroplast;Streptophyta;NA
ASV0894;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
